Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.85114,0.00297,0.00861,1.29219,1.17829,1.00038,0.0183,0.01625,1.28992,0.22695,0.07854,0.30888,1.01834,0.09173,0.14155,0.08905,0.45201,0.17258,0.53631,0.96764,0.48489,0.40173,0.31069,0.22334,0.17828,0.11368,0.05606,0.20151,0.8846,26
0.85371,0.0028,0.00814,1.26725,1.1758,1.04992,0.01636,0.01475,1.26507,0.2187,0.07445,0.29297,1.0174,0.08696,0.13453,0.08448,0.42991,0.16859,0.52728,0.9269,0.46835,0.38491,0.29643,0.2125,0.1694,0.10789,0.05316,0.19102,0.90416,26
0.85629,0.00264,0.00774,1.24215,1.17018,1.08491,0.01482,0.0136,1.24004,0.21067,0.07036,0.27701,1.01645,0.08219,0.12744,0.07989,0.40761,0.16436,0.5186,0.88535,0.45097,0.36765,0.28193,0.20155,0.16045,0.10207,0.05026,0.18053,0.92334,26
0.85886,0.00249,0.0074,1.21694,1.1626,1.10705,0.01365,0.01275,1.21491,0.20285,0.06625,0.261,1.01551,0.0774,0.12029,0.07528,0.3851,0.15987,0.51046,0.843,0.43271,0.34995,0.26721,0.19049,0.15144,0.09624,0.04736,0.17003,0.94213,26
0.86143,0.00235,0.00712,1.19166,1.15385,1.11875,0.01281,0.01216,1.18971,0.19525,0.06215,0.24496,1.01455,0.0726,0.11307,0.07066,0.36238,0.15507,0.50305,0.79985,0.41355,0.33179,0.25227,0.17934,0.14237,0.09037,0.04445,0.15953,0.96053,26
0.864,0.00222,0.00688,1.16638,1.14441,1.12266,0.01223,0.01176,1.1645,0.18788,0.05803,0.22887,1.0136,0.0678,0.1058,0.06602,0.33946,0.14993,0.49663,0.75593,0.39343,0.31317,0.2371,0.16809,0.13325,0.08449,0.04153,0.14902,0.97854,26
0.86657,0.00209,0.00668,1.14112,1.13457,1.12115,0.01184,0.01149,1.13931,0.18075,0.05391,0.21275,1.01264,0.06298,0.09848,0.06136,0.31634,0.1444,0.49147,0.71123,0.37233,0.29409,0.22171,0.15674,0.12407,0.07859,0.03861,0.1385,0.99617,26
0.86914,0.00198,0.00651,1.11593,1.12449,1.11614,0.01157,0.0113,1.11419,0.17387,0.04978,0.19659,1.01168,0.05816,0.0911,0.0567,0.29302,0.13842,0.48786,0.66576,0.3502,0.27452,0.2061,0.1453,0.11484,0.07267,0.03568,0.12798,1.01341,26
0.87171,0.00187,0.00635,1.09085,1.11425,1.10902,0.01137,0.01116,1.08918,0.16724,0.04565,0.1804,1.01072,0.05334,0.08368,0.05202,0.26951,0.13194,0.48567,0.6195,0.327,0.25447,0.19025,0.13376,0.10556,0.06673,0.03275,0.11746,1.03026,26
0.87429,0.00177,0.0062,1.06591,1.10392,1.10067,0.01122,0.01105,1.06431,0.16087,0.04152,0.16419,1.00976,0.04851,0.07622,0.04733,0.2458,0.12489,0.4838,0.57229,0.30273,0.23393,0.17419,0.12213,0.09622,0.06077,0.02981,0.10692,1.04673,26
0.87686,0.00167,0.00606,1.04115,1.09352,1.09162,0.01108,0.01094,1.0396,0.15476,0.03737,0.14794,1.00879,0.04367,0.06872,0.04263,0.22192,0.1172,0.48077,0.52397,0.27737,0.21288,0.15789,0.11041,0.08684,0.05479,0.02687,0.09637,1.06281,26
0.87943,0.00158,0.00593,1.01658,1.08308,1.08213,0.01096,0.01084,1.0151,0.14893,0.03323,0.13168,1.00782,0.03883,0.06118,0.03792,0.19786,0.10877,0.47494,0.47434,0.25093,0.19134,0.14136,0.09859,0.07741,0.0488,0.02392,0.0858,1.07852,26
0.882,0.0015,0.0058,0.99225,1.07263,1.07236,0.01084,0.01074,0.99081,0.14338,0.02908,0.11539,1.00685,0.03398,0.05361,0.0332,0.17364,0.09952,0.46445,0.42319,0.2234,0.16929,0.12459,0.08666,0.06793,0.04278,0.02096,0.07521,1.09386,26
0.88457,0.00142,0.00568,0.96816,1.06217,1.06239,0.01072,0.01064,0.96678,0.13812,0.02493,0.09908,1.00587,0.02913,0.04602,0.02848,0.14925,0.08934,0.44722,0.37031,0.19478,0.14672,0.10757,0.07464,0.0584,0.03674,0.018,0.06459,1.10882,26
0.88714,0.00134,0.00556,0.94436,1.05172,1.05225,0.0106,0.01053,0.94302,0.13314,0.02078,0.08276,1.0049,0.02428,0.0384,0.02375,0.12471,0.07811,0.4208,0.31545,0.16507,0.12363,0.09031,0.0625,0.04881,0.03068,0.01503,0.05395,1.12341,26
0.88971,0.00127,0.00544,0.92084,1.04128,1.04197,0.01048,0.01043,0.91956,0.12846,0.01662,0.06642,1.00392,0.01943,0.03076,0.01901,0.10003,0.06568,0.38234,0.25835,0.13425,0.10002,0.0728,0.05025,0.03917,0.0246,0.01204,0.04326,1.13764,26
0.89229,0.0012,0.00533,0.89764,1.03087,1.03159,0.01036,0.01032,0.8964,0.12408,0.01247,0.05008,1.00294,0.01457,0.02311,0.01427,0.07521,0.05192,0.32835,0.19873,0.10234,0.07586,0.05502,0.03789,0.02947,0.01849,0.00905,0.03253,1.15152,26
0.89486,0.00114,0.00523,0.87476,1.02048,1.02112,0.01024,0.01022,0.87356,0.12,0.00831,0.03372,1.00196,0.00971,0.01545,0.00952,0.05026,0.03661,0.25425,0.13624,0.06933,0.05115,0.03697,0.0254,0.01972,0.01236,0.00605,0.02176,1.16504,26
0.89743,0.00108,0.00512,0.85223,1.01015,1.01058,0.01012,0.01011,0.85107,0.11622,0.00416,0.01736,1.00098,0.00486,0.00778,0.00476,0.02519,0.01948,0.15219,0.07043,0.03522,0.02587,0.01864,0.01277,0.00989,0.0062,0.00303,0.01092,1.17821,26
