Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,temper,Electric field,Rise rate
0.124,0.15136,0.20101,0.19527,0.61644,0.02147,0.26191,0.22824,0.18975,0.55245,0.26356,0.78393,1.06599,0.30313,0.24066,0.16464,0.78051,0.21712,0.94163,1.36645,0.63179,0.56625,0.45914,0.33948,0.27739,0.18077,0.09143,0.33983,31.15643,0.0305,28
0.126,0.1515,0.20237,0.19652,0.61781,0.02231,0.26872,0.23356,0.1908,0.57218,0.2672,0.79543,1.0669,0.30733,0.24289,0.16686,0.79,0.21789,0.94331,1.37568,0.63279,0.56976,0.46334,0.34328,0.28081,0.18326,0.0928,0.34529,31.12566,0.03047,28
0.128,0.15164,0.20372,0.19777,0.61921,0.02316,0.27555,0.23884,0.19185,0.59226,0.27081,0.80689,1.06781,0.3115,0.24506,0.16905,0.79939,0.21865,0.94489,1.38462,0.63368,0.57315,0.46745,0.34703,0.2842,0.18574,0.09417,0.35074,31.09498,0.03043,28
0.13,0.15179,0.20509,0.19902,0.62063,0.02402,0.28239,0.24409,0.19289,0.61265,0.27442,0.81829,1.06871,0.31566,0.24717,0.17123,0.8087,0.2194,0.94639,1.39327,0.63446,0.57644,0.47147,0.35072,0.28755,0.1882,0.09554,0.3562,31.0644,0.0304,28
0.132,0.15195,0.20645,0.20027,0.62209,0.0249,0.28922,0.24929,0.19394,0.63334,0.27801,0.82963,1.0696,0.3198,0.24922,0.17339,0.81791,0.22014,0.9478,1.40165,0.63512,0.57961,0.47542,0.35436,0.29086,0.19064,0.09689,0.36165,31.03392,0.03036,28
0.134,0.15211,0.20781,0.20153,0.62357,0.02578,0.29604,0.25443,0.19499,0.65431,0.28158,0.84093,1.07049,0.32393,0.25122,0.17554,0.82703,0.22086,0.94913,1.40975,0.63569,0.58268,0.47928,0.35795,0.29414,0.19307,0.09825,0.36711,31.00354,0.03032,28
0.136,0.15228,0.20917,0.20278,0.62508,0.02668,0.30284,0.25951,0.19603,0.67554,0.28514,0.85217,1.07137,0.32803,0.25315,0.17766,0.83606,0.22158,0.95038,1.41758,0.63615,0.58564,0.48307,0.36148,0.29737,0.19547,0.0996,0.37257,30.97326,0.03028,28
0.138,0.15246,0.21052,0.20403,0.62662,0.02759,0.30961,0.26452,0.19706,0.69699,0.28869,0.86336,1.07225,0.33212,0.25502,0.17977,0.845,0.22229,0.95156,1.42515,0.63651,0.58849,0.48677,0.36497,0.30058,0.19786,0.10095,0.37803,30.9431,0.03023,28
0.14,0.15264,0.21188,0.20528,0.62818,0.0285,0.31634,0.26945,0.19809,0.71866,0.29222,0.8745,1.07311,0.33619,0.25683,0.18187,0.85385,0.22298,0.95267,1.43247,0.63679,0.59125,0.4904,0.3684,0.30374,0.20024,0.10229,0.3835,30.91305,0.03019,28
0.142,0.15283,0.21322,0.20652,0.62978,0.02942,0.32303,0.27429,0.19912,0.74051,0.29573,0.88558,1.07398,0.34024,0.25859,0.18394,0.86261,0.22367,0.95371,1.43953,0.63697,0.59391,0.49396,0.37178,0.30687,0.20259,0.10362,0.38896,30.88312,0.03015,28
0.144,0.15303,0.21456,0.20776,0.6314,0.03035,0.32966,0.27904,0.20013,0.76252,0.29923,0.8966,1.07483,0.34427,0.26029,0.186,0.87128,0.22434,0.95469,1.44635,0.63708,0.59647,0.49744,0.37512,0.30996,0.20493,0.10496,0.39443,30.85332,0.0301,28
0.146,0.15323,0.21588,0.20899,0.63305,0.03129,0.33623,0.28368,0.20114,0.78466,0.30271,0.90757,1.07568,0.34828,0.26194,0.18805,0.87986,0.22501,0.95561,1.45293,0.6371,0.59894,0.50084,0.3784,0.31302,0.20726,0.10628,0.3999,30.82363,0.03005,28
0.148,0.15344,0.2172,0.21021,0.63473,0.03223,0.34273,0.28822,0.20214,0.80691,0.30618,0.91848,1.07652,0.35227,0.26353,0.19007,0.88836,0.22566,0.95647,1.45927,0.63704,0.60132,0.50418,0.38164,0.31604,0.20956,0.10761,0.40536,30.79408,0.03001,28
0.15,0.15365,0.2185,0.21142,0.63644,0.03317,0.34915,0.29264,0.20313,0.82924,0.30963,0.92934,1.07735,0.35624,0.26506,0.19208,0.89677,0.2263,0.95728,1.46539,0.63692,0.60361,0.50744,0.38482,0.31903,0.21185,0.10893,0.41083,30.76466,0.02996,28
0.152,0.15388,0.21979,0.21262,0.63817,0.03412,0.35549,0.29694,0.20411,0.85163,0.31307,0.94014,1.07818,0.36019,0.26654,0.19408,0.9051,0.22694,0.95804,1.47128,0.63672,0.60581,0.51063,0.38796,0.32198,0.21412,0.11024,0.4163,30.73537,0.02991,28
