Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.462,0.20085,0.27157,0.25808,0.59226,0.05813,0.50268,0.19798,0.24835,0.9725,0.3962,1.29318,1.06413,0.45338,0.23689,0.2812,1.31808,0.23658,0.83964,1.52653,0.54581,0.62455,0.60457,0.50488,0.44382,0.31667,0.17284,0.68429,0.01558,20
0.465,0.20305,0.27402,0.26052,0.5957,0.05836,0.50494,0.19825,0.25078,0.97372,0.39627,1.29429,1.06416,0.45347,0.23803,0.2822,1.32114,0.23749,0.84281,1.53195,0.54721,0.62667,0.60675,0.50683,0.44554,0.31798,0.17362,0.68772,0.0154,20
0.468,0.20529,0.27653,0.26303,0.59917,0.05859,0.5072,0.19861,0.25328,0.97506,0.39631,1.29531,1.06418,0.45352,0.23918,0.28319,1.32416,0.2384,0.84602,1.53745,0.54865,0.62882,0.60894,0.50878,0.44726,0.31928,0.17439,0.6911,0.01521,20
0.471,0.20759,0.2791,0.26559,0.60267,0.05881,0.50947,0.19906,0.25583,0.97651,0.39631,1.29621,1.0642,0.45353,0.24036,0.28416,1.32712,0.23931,0.84928,1.54301,0.55012,0.631,0.61115,0.51074,0.44897,0.32057,0.17515,0.69442,0.01502,20
0.474,0.20993,0.28173,0.26822,0.60619,0.05902,0.51174,0.19959,0.25844,0.97806,0.39628,1.29702,1.06422,0.4535,0.24155,0.28512,1.33003,0.24023,0.85257,1.54864,0.55161,0.6332,0.61337,0.5127,0.45068,0.32185,0.17591,0.69769,0.01483,20
0.477,0.21233,0.28443,0.27092,0.60973,0.05923,0.51401,0.20022,0.26112,0.97971,0.39621,1.29772,1.06423,0.45343,0.24277,0.28607,1.33289,0.24116,0.85591,1.55433,0.55314,0.63542,0.61559,0.51466,0.45238,0.32312,0.17665,0.7009,0.01464,20
0.48,0.21479,0.28718,0.27368,0.61331,0.05943,0.51628,0.20093,0.26386,0.98145,0.39611,1.29832,1.06424,0.45331,0.24401,0.287,1.33569,0.24209,0.85929,1.56009,0.5547,0.63766,0.61783,0.51662,0.45407,0.32438,0.17738,0.70406,0.01445,20
0.483,0.2173,0.29,0.2765,0.6169,0.05963,0.51854,0.20174,0.26667,0.98328,0.39597,1.29881,1.06424,0.45316,0.24526,0.28792,1.33843,0.24303,0.8627,1.56591,0.55629,0.63993,0.62008,0.51857,0.45575,0.32562,0.1781,0.70715,0.01426,20
0.486,0.21987,0.29289,0.2794,0.62053,0.05982,0.5208,0.20263,0.26955,0.9852,0.3958,1.29919,1.06425,0.45297,0.24653,0.28882,1.34112,0.24397,0.86616,1.57179,0.55791,0.64222,0.62233,0.52053,0.45743,0.32686,0.17881,0.71018,0.01407,20
0.489,0.2225,0.29585,0.28236,0.62417,0.06,0.52306,0.20361,0.27249,0.98718,0.39559,1.29947,1.06425,0.45274,0.24782,0.28971,1.34375,0.24492,0.86965,1.57773,0.55956,0.64454,0.62459,0.52248,0.45909,0.32807,0.17951,0.71315,0.01388,20
