Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.87,0.00173,0.0063,0.59233,1.05756,1.0101,0.01298,0.01205,0.59118,0.11457,0.03711,0.15148,1.00742,0.04327,0.06693,0.04385,0.25051,0.1288,0.48265,0.59556,0.3325,0.24618,0.17712,0.12016,0.09225,0.05588,0.0261,0.08892,0.82107,18
0.873,0.00164,0.00606,0.5769,1.05639,1.03192,0.01198,0.01136,0.5758,0.10977,0.03341,0.13652,1.00669,0.03896,0.06036,0.0395,0.2264,0.12171,0.48121,0.5465,0.30585,0.22464,0.16084,0.10875,0.08332,0.05041,0.02353,0.0802,0.83145,18
0.876,0.00155,0.00587,0.56169,1.05287,1.04218,0.01133,0.01093,0.56064,0.10544,0.02971,0.12153,1.00595,0.03464,0.05376,0.03514,0.20206,0.1138,0.47918,0.49609,0.27776,0.20246,0.14427,0.09723,0.07433,0.04492,0.02096,0.07146,0.84155,18
0.879,0.00147,0.00572,0.54673,1.04799,1.04459,0.01094,0.01067,0.54571,0.10157,0.02601,0.10652,1.00521,0.03032,0.04713,0.03078,0.17749,0.10493,0.47404,0.44403,0.2482,0.17961,0.1274,0.08558,0.06528,0.03941,0.01838,0.06269,0.85139,18
0.882,0.00139,0.0056,0.53201,1.04229,1.04224,0.0107,0.01052,0.53103,0.09817,0.02229,0.09149,1.00447,0.026,0.04047,0.0264,0.15271,0.09496,0.46291,0.38999,0.21718,0.15609,0.11022,0.07381,0.05617,0.03387,0.01579,0.0539,0.86096,18
0.885,0.00132,0.00549,0.51755,1.03604,1.03727,0.01054,0.01042,0.5166,0.09523,0.01858,0.07644,1.00373,0.02167,0.03378,0.02201,0.12771,0.08372,0.44243,0.33362,0.18469,0.13188,0.09272,0.0619,0.04699,0.0283,0.0132,0.04506,0.87027,18
0.888,0.00125,0.00539,0.50336,1.02938,1.03095,0.01042,0.01033,0.50243,0.09273,0.01487,0.06137,1.00299,0.01734,0.02707,0.01762,0.10252,0.07102,0.40859,0.27452,0.15073,0.10698,0.07489,0.04984,0.03775,0.02271,0.01059,0.03618,0.87933,18
0.891,0.00119,0.00529,0.48943,1.02237,1.02386,0.01031,0.01025,0.48852,0.09067,0.01115,0.04629,1.00224,0.013,0.02034,0.01322,0.07715,0.05662,0.35643,0.21225,0.11528,0.08137,0.05673,0.03764,0.02843,0.01709,0.00796,0.02725,0.88813,18
0.894,0.00113,0.00519,0.47578,1.01507,1.01629,0.01021,0.01017,0.47489,0.08904,0.00744,0.0312,1.0015,0.00867,0.0136,0.00882,0.05159,0.04025,0.27946,0.1463,0.07834,0.05501,0.0382,0.02527,0.01904,0.01143,0.00533,0.01825,0.8967,18
0.897,0.00107,0.0051,0.4624,1.00753,1.00832,0.01011,0.01009,0.46152,0.08781,0.00372,0.0161,1.00075,0.00434,0.00685,0.00441,0.02587,0.02156,0.16764,0.076,0.03992,0.0279,0.0193,0.01274,0.00957,0.00574,0.00267,0.00917,0.90502,18
