Width,Electron density,Negative density,Positive density,O- density,O2- density,CO3- density,CO4- density,CO2+ density,O2+ density,O density,O2 density,O3 density,CO density,C density,CO2e1 density,CO2va density,CO2vb density,CO2vc density,CO2v1a density,CO2v1 density,CO2v2 density,CO2v3 density,CO2v4 density,CO2v5 density,CO2v6 density,CO2v7 density,CO2v8 density,Electric field,Rise rate
0.7488,0.01451,0.06048,0.767,0.05716,0.00965,0.24453,0.21454,0.76216,0.48401,0.14973,0.60421,1.02507,0.17385,0.21895,0.17222,0.91519,0.21365,0.68848,1.63294,0.68329,0.66277,0.55502,0.41568,0.33454,0.21112,0.10037,0.343,0.27652,26
0.7524,0.0134,0.05698,0.76541,0.05619,0.00887,0.23115,0.20394,0.76071,0.46988,0.14654,0.5922,1.02462,0.17017,0.21633,0.16908,0.90135,0.21259,0.68796,1.62107,0.68292,0.65837,0.54917,0.41016,0.32957,0.20754,0.09848,0.33598,0.29195,26
0.756,0.0124,0.05362,0.76269,0.05527,0.00813,0.2181,0.19346,0.75814,0.45555,0.14333,0.58003,1.02416,0.16646,0.21356,0.16587,0.88711,0.21146,0.68722,1.60822,0.68226,0.6536,0.543,0.40441,0.32442,0.20385,0.09655,0.32886,0.3074,26
0.7596,0.0115,0.05041,0.7589,0.05441,0.00744,0.20541,0.18313,0.75449,0.44107,0.14009,0.5677,1.02369,0.16272,0.21064,0.1626,0.87247,0.21028,0.68622,1.59439,0.68129,0.64844,0.53652,0.39843,0.3191,0.20008,0.09458,0.32164,0.32283,26
0.7632,0.01067,0.04735,0.75408,0.05359,0.00678,0.19314,0.17302,0.74981,0.42646,0.13683,0.55522,1.02321,0.15895,0.20757,0.15926,0.85743,0.20903,0.68496,1.57953,0.67998,0.64289,0.52971,0.39222,0.31361,0.1962,0.09257,0.31432,0.33823,26
0.7668,0.00992,0.04443,0.74829,0.05281,0.00617,0.18131,0.16317,0.74417,0.41176,0.13354,0.54259,1.02272,0.15515,0.20434,0.15586,0.84199,0.20772,0.68341,1.56361,0.67833,0.63693,0.52257,0.38577,0.30795,0.19224,0.09054,0.30692,0.35357,26
0.7704,0.00923,0.04165,0.74159,0.05206,0.00561,0.16997,0.15363,0.73762,0.39699,0.13023,0.52982,1.02223,0.15132,0.20096,0.1524,0.82615,0.20635,0.68154,1.54662,0.6763,0.63055,0.5151,0.3791,0.30211,0.18818,0.08846,0.29944,0.36882,26
0.774,0.0086,0.03901,0.73404,0.05134,0.00509,0.15914,0.14442,0.73022,0.38219,0.1269,0.51689,1.02172,0.14746,0.19743,0.14888,0.8099,0.20492,0.67934,1.52851,0.67386,0.62374,0.50729,0.37219,0.29611,0.18404,0.08636,0.29188,0.38396,26
0.7776,0.00802,0.03652,0.7257,0.05064,0.00462,0.14882,0.13557,0.72202,0.3674,0.12354,0.50383,1.02121,0.14358,0.19375,0.14531,0.79325,0.20342,0.67679,1.50927,0.67101,0.61648,0.49913,0.36505,0.28994,0.17981,0.08422,0.28424,0.39898,26
0.7812,0.00749,0.03416,0.71662,0.04995,0.0042,0.13904,0.12711,0.71309,0.35264,0.12016,0.49062,1.02069,0.13966,0.18992,0.14167,0.7762,0.20186,0.67386,1.48887,0.6677,0.60875,0.49063,0.35768,0.2836,0.17549,0.08205,0.27652,0.41385,26
